Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Jonas Hofmann;D (R), DM, M (C);29;€18K - €180K;3. Liga;Germany;1.9;7.6;45%;0.1;11%;0;0.0;1.2;0.3;92%;7.3;0;0.7;8.8;2.1;2.1;1.0;0.7;0;67.1;8.0;14.3;1.2;0.7;73;0.3;1.6;0.2;0.4;0.2;12.1;0.2;2.1;0.2;0.7;0.5;0.1;0.7;45;0.0;26;0.52;93;0.2;0;3149
Jonas Scholz;D (LC);27;€45K - €450K;3. Liga;Germany;3.0;9.6;60%;0.2;20%;0;0.0;0.1;0.0;92%;5.2;0;1.5;2.0;0.6;0.4;0.1;0.2;0;53.8;3.2;6.8;0.1;0.0;14;0.0;0.3;0.6;0.7;0.1;10.2;0.0;5.6;0.0;0.2;4.3;0.0;0.2;0;0.9;78;1.2;22;0.0;0;3419
Jannik Oltrogge;D (R), DM, M (C);30;€500 - €3.5K;3. Liga;Germany;3.8;8.4;33%;0.0;0%;0;0.0;0.4;0.0;88%;4.5;0;0.8;2.7;1.1;0.8;0.2;0.1;0;32.9;3.2;13.2;0.4;0.1;9;0.0;0.3;0.6;0.7;0.0;11.9;0.0;2.9;0.0;0.1;1.6;0.0;0.1;0;0.3;56;-0.05;22;0.0;0;1050
Kevin Schumacher;D/WB/M/AM (L);28;€50K - €500K;3. Liga;Germany;3.3;9.9;42%;0.0;11%;0;0.0;2.3;0.8;83%;19.0;0;0.8;10.0;2.3;2.3;0.9;0.6;0;51.5;5.7;24.3;2.8;2.7;30;1.0;1.4;0.4;0.6;0.2;14.0;0.1;5.7;0.3;9.4;1.6;0.4;11.8;12;0.2;28;0.84;39;0.1;0;1191
Besfort Kolgeci;D (LC), DM;28;€0 - €30K;3. Liga;Germany;2.7;11.0;56%;0.1;0%;0;0.0;0.4;0.0;86%;7.7;0;1.1;2.4;0.8;0.6;0.0;0.1;0;47.3;4.8;8.2;0.4;0.2;21;0.0;0.2;0.4;0.6;0.0;10.3;0.0;5.7;0.0;0.1;4.3;0.0;1.0;5;1.1;76;-0.59;24;0.0;0;3240
Lucas Hermes;AM (RL), ST (C);26;€20K - €200K;3. Liga;Germany;1.4;3.9;51%;0.0;23%;0;0.0;1.7;0.6;89%;10.5;0;0.1;5.0;1.4;1.1;0.8;1.5;0;34.9;2.5;8.7;2.1;4.6;15;1.3;2.9;0.0;0.1;0.7;11.8;0.5;7.2;0.3;3.5;2.5;0.7;5.0;34;0.1;34;2.94;19;0.5;0;1195
Semi Belkahia;D (C);27;€0 - €20K;3. Liga;Germany;3.2;10.6;0%;0.1;0%;0;0.0;0.1;0.0;78%;7.8;0;1.2;2.6;0.7;0.6;0.0;0.0;0;33.7;3.3;3.4;0.1;0.0;10;0.0;0.2;0.5;0.5;0.0;9.7;0.0;6.8;0.0;0.0;5.5;0.0;0.0;0;1.6;81;-0.32;12;0.0;0;1525
Nicolas Sessa;DM, M/AM (C);30;€0 - €80K;3. Liga;Germany;2.6;6.7;43%;0.0;10%;0;0.0;1.4;0.5;87%;11.7;0;0.7;8.0;2.0;1.5;0.9;0.7;0;57.2;5.7;10.1;1.9;0.9;35;0.2;1.7;0.2;0.2;0.2;12.0;0.2;1.5;0.1;0.9;0.3;0.1;4.0;11;0.1;19;-1.13;51;0.2;0;2138
Leon Dajaku;AM (RLC);25;€40K - €400K;3. Liga;Germany;1.8;5.5;51%;0.0;6%;0;0.0;1.7;0.5;88%;12.8;0;0.4;4.3;1.0;1.1;0.5;0.8;0;39.5;3.1;13.7;2.0;3.8;25;0.8;1.6;0.0;0.0;0.1;12.4;0.2;4.5;0.2;4.5;0.9;0.1;6.3;15;0.0;19;-1.72;37;0.2;0;1995
Patrick Sussek;M/AM (RL);26;€120K - €1.2M;3. Liga;Germany;2.5;7.8;44%;0.1;8%;0;0.0;1.5;0.7;88%;15.2;0;0.5;9.6;2.7;2.4;1.5;1.1;0;45.0;4.2;15.2;2.1;3.6;59;1.0;2.4;0.1;0.2;0.2;12.7;0.2;3.9;0.3;5.2;0.8;0.2;8.1;17;0.0;20;0.05;76;0.2;0;2169
