Player;Position;Age;Transfer Value;Division;Based In;Interceptions per 90;Possession Won per 90;Shots on Target Percentage;Key Tackles per 90;Conv %;Save Percentage;xGP/90;Open Play Key Passes per 90;Chances Created per 90;Pass Completion Percentage;Possession Lost per 90;xGP;Clearances per 90;Pres A/90;Pres C/90;Tackles Completed per 90;Shots From Outside The Box Per 90 minutes;Shots on Target per 90;Expected Save Percentage;Passes Attempted per 90;Progressive Passes per 90;Sprints/90;Key Passes per 90;Dribbles per 90;Tackled Completed;Open Play Crosses Completed per 90;Shot/90;Shts Blckd/90;Blk/90;Goals per 90 minutes;Dist/90;NP-xG/90;Headers Attempted per 90;xA/90;Open Play Crosses Attempted per 90;Headers Won per 90;Asts/90;Crosses Attempted per 90;Crosses Completed Ratio;Key Headers per 90;Headers Won Percentage;xG-OP;Tackles Attempted;xG/90;Goals Conceded;Minutes
Ahmet Gürleyen;D (C);26;160K € - 1,6M €;3. Liga;Germany;5,1;14,4;11%;0,2;0%;0;0,0;0,1;0,0;87%;6,4;0;1,2;2,6;0,6;0,9;0,2;0,1;0;49,1;2,9;3,7;0,1;0,1;16;0,0;0,5;0,4;0,6;0,0;10,4;0,0;6,5;0,0;0,0;5,9;0,0;0,0;0;0,9;92;-0.38;19;0,0;0;1530
Tom Baumgart;M/AM (RL), ST (C);28;5K € - 50K €;Regional Div. Northeast;Germany;2,1;6,2;52%;0,1;6%;0;0,0;1,5;0,2;89%;15,5;0;0,9;7,4;2,0;1,1;0,6;1,2;0;44,3;3,6;11,6;2,3;4,2;15;0,8;2,4;0,0;0,4;0,1;11,1;0,2;4,7;0,2;4,0;1,8;0,1;5,6;17;0,0;38;-1.19;23;0,2;0;1251
Leroy Kwadwo;D (LC), WB (L);29;0 € - 40K €;Regional Div. West;Germany;2,8;16,0;27%;0,1;9%;0;0,0;0,2;0,1;86%;2,8;0;1,4;2,7;1,4;0,8;0,2;0,2;0;41,2;2,6;4,0;0,2;0,0;15;0,0;0,6;1,1;0,9;0,1;10,3;0,1;4,0;0,0;0,1;2,9;0,1;0,1;0;0,7;73;-0.26;19;0,1;0;1645
Saša Strujić;D (LC), WB/M (L);34;0 € - 35K €;3. Liga;Germany;3,8;11,0;0%;0,2;0%;0;0,0;0,6;0,1;90%;9,3;0;1,2;3,4;1,2;1,6;0,1;0,0;0;54,5;6,1;10,8;0,6;0,3;23;0,1;0,1;0,3;0,8;0,0;11,2;0,0;3,3;0,0;1,4;2,3;0,0;2,4;2;0,2;69;-0.02;29;0,0;0;1316
Jonathan Meier;D/WB (L);26;30K €;3. Liga;Germany;3,2;9,9;20%;0,2;0%;0;0,0;1,3;0,2;86%;12,3;0;1,3;5,9;1,6;1,7;0,3;0,1;0;46,8;6,6;18,0;1,4;1,4;29;0,9;0,3;0,1;0,7;0,0;12,4;0,0;2,7;0,1;4,9;1,3;0,1;5,7;15;0,4;47;-0.15;34;0,0;0;1503
Lamar Yarbrough;D (C), DM;29;5K € - 55K €;3. Liga;Germany;3,0;14,0;11%;0,1;0%;0;0,0;0,3;0,1;83%;9,0;0;1,3;3,0;0,9;0,8;0,2;0,1;0;49,7;2,5;6,5;0,3;0,1;15;0,1;0,5;0,2;0,3;0,0;10,4;0,0;6,4;0,0;0,1;5,1;0,1;0,1;100;1,6;80;-0.26;21;0,0;0;1627
Erik Majetschak;D (C), DM, M (C);25;140K € - 475K €;3. Liga;Germany;2,6;10,3;40%;0,3;10%;0;0,0;1,1;0,1;89%;8,1;0;0,5;6,1;1,6;0,9;0,7;0,5;0;68,3;6,4;15,1;1,1;0,3;15;0,0;1,2;0,3;0,5;0,1;12,1;0,1;2,8;0,0;0,1;1,3;0,0;0,3;0;0,1;47;0.29;27;0,1;0;1508
Jayson Videira;M (R), AM (RL), ST (C);20;220K € - 650K €;Regional Div. Southwest;Germany;1,0;1,9;38%;0,1;8%;0;0,0;1,9;0,1;89%;16,7;0;0,5;7,3;3,0;1,7;0,8;0,9;0;40,9;2,9;14,3;1,9;5,0;28;0,9;2,4;0,0;0,1;0,2;12,2;0,3;4,8;0,0;5,9;2,9;0,0;5,9;15;0,1;61;-1.45;38;0,3;0;1501
Leon Damer;M (R), AM (RL), ST (C);25;14K € - 130K €;Regional Div. Northeast;Germany;2,3;8,5;48%;0,0;12%;0;0,0;2,1;0,1;88%;20,8;0;0,5;8,9;2,3;1,7;0,8;0,8;0;42,4;3,6;14,8;2,6;3,9;27;1,3;1,6;0,0;0,3;0,2;12,3;0,2;3,0;0,2;6,1;0,9;0,1;9,5;20;0,0;29;0.39;30;0,2;0;1421
Iba May;DM, M (C);27;3K € - 30K €;Regional Div. Northeast;Germany;2,2;16,8;0%;0,1;0%;0;0,0;0,4;0,3;89%;6,9;0;0,8;5,9;2,2;1,3;0,2;0,0;0;44,4;3,4;9,0;0,6;0,4;27;0,1;0,7;0,6;0,6;0,0;11,3;0,1;3,5;0,1;0,2;1,9;0,0;0,5;18;0,4;54;-1.5;34;0,1;0;1891
Patrick Schmidt;AM (L), ST (C);32;75K € - 250K €;3. Liga;Germany;1,2;3,3;63%;0,0;37%;0;0,0;0,9;0,4;87%;6,9;0;0,2;3,2;0,8;0,2;0,5;1,3;0;30,8;1,6;7,2;0,9;1,1;2;0,0;2,1;0,2;0,2;0,8;11,2;0,4;9,3;0,1;0,5;4,4;0,2;0,5;0;0,2;47;4.9;4;0,4;0;1154
